year,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Critical infrastructure,Education,End user(s) / specially protected groups,International / supranational organization,Media,Not available,Other,Science,Social groups,State institutions / political system,Unknown
2015,19,23,0,9,4,18,0,4,4,15,84,2
2016,24,37,1,10,7,19,0,3,8,23,116,2
2017,23,42,1,11,8,16,2,1,10,19,73,2
2018,25,29,0,9,3,10,0,6,8,10,70,3
2019,22,24,1,6,2,12,1,2,9,14,55,3
2020,12,26,4,1,2,6,0,1,7,11,41,8
2021,29,54,5,5,3,17,4,1,7,17,90,19
2022,70,159,12,4,6,22,5,6,10,20,170,23
2023,74,432,86,10,7,21,9,2,1,18,300,27
2024,58,402,74,4,8,20,3,4,1,19,296,22
